time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450600000	13.111	20.8879	5.02794	2.96061	0.620294	lidar	22604.4	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8793	20.9478	4.99983	2.97943	0.599197	radar	7850.59	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6963	20.9805	4.86969	3.00654	0.599408	lidar	22742.2	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4397	21.0241	4.91204	3.03224	0.594185	radar	7796.87	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1935	21.0597	4.92437	3.05728	0.588488	lidar	22200.4	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9566	21.0792	4.91692	3.08814	0.595454	radar	7676.89	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7206	21.0448	4.87231	3.13521	0.616639	lidar	21354.9	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.476	21.0307	4.86469	3.16992	0.619386	radar	7322.34	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2683	21.0198	4.79297	3.2017	0.622517	lidar	21408.1	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0152	20.9809	4.81174	3.24046	0.629769	radar	7132.26	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8132	20.9392	4.73208	3.27974	0.641493	lidar	20799.1	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5688	20.9376	4.67946	3.28062	0.573242	radar	7375.76	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2677	20.976	4.83679	3.27261	0.524416	lidar	20691.8	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0303	20.9567	4.83215	3.29162	0.514221	radar	7434.36	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85063	20.9141	4.71291	3.32468	0.526394	lidar	20186.5	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62338	20.9031	4.6339	3.32183	0.464756	radar	7248.5	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43967	20.8515	4.5453	3.35347	0.477116	lidar	19697.4	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22727	20.8053	4.54577	3.38034	0.487581	radar	7240.35	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90562	20.7864	4.75026	3.37497	0.447004	lidar	19042.8	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69907	20.7031	4.72157	3.41575	0.476822	radar	6810.56	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40391	20.6259	4.86168	3.43362	0.466205	lidar	18217.1	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.174	20.5456	4.87687	3.46399	0.480718	radar	6916.05	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92621	20.4672	4.9121	3.48454	0.475704	lidar	17957.8	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70941	20.3806	4.93461	3.52004	0.505965	radar	7014.59	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
